domain,category,original_index,title,year,venue,task,method,signals,note,impact,status,resolved_title,resolved_year,doi,oa_pdf_url,source,local_pdf,error
DOM,A. 跨类别方法、Dynamics 与 Benchmarks（17 篇）,1,AdaptiGraph: Material-Adaptive Graph-Based Neural Dynamics for Robotic Manipulation,2024,RSS,"跨类别：rope / cloth / granular / rigid
推拉、形状控制、跨材料适应",GNN dynamics + online material-parameter adaptation + model-based planning,粒子/图状态 + robot action,把“物体是什么材料”作为可在线适应的隐变量；是跨材料 DOM dynamics 的代表作。,"高影响
代表作",PENDING_OA_LOOKUP,,,,,,,
DOM,A. 跨类别方法、Dynamics 与 Benchmarks（17 篇）,2,Learning Language-Conditioned Deformable Object Manipulation with Graph Dynamics,2024,ICRA,"通用 DOM（多任务）
语言指定的多任务 pick-and-place",Transformer policy + visible-connectivity graph,视觉/几何状态 + language instruction,把 DOM 从 goal-image 任务推进到 language-conditioned multi-task learning；适合观察 VLM/VLA 前的结构化路线。,"近期
代表作",PENDING_OA_LOOKUP,,,,,,,
DOM,A. 跨类别方法、Dynamics 与 Benchmarks（17 篇）,3,Learning Foresightful Dense Visual Affordance for Deformable Object Manipulation,2023,ICCV,"rope + fabric
多步 pick-and-place、展开/整形",Self-supervised dense affordance + long-term state value,RGB / dense visual representation,高影响的“affordance 而非直接 policy”路线；强调 foresight，避免多步操作陷入局部最优。,"高影响
代表作",PENDING_OA_LOOKUP,,,,,,,
DOM,A. 跨类别方法、Dynamics 与 Benchmarks（17 篇）,4,GenDOM: Generalizable One-shot Deformable Object Manipulation with Parameter-Aware Policy,2024,ICRA,"rope + cloth
one-shot 适应、形状操作",Parameter-conditioned policy + differentiable physics system identification,Point cloud + one real demonstration,把 physical parameters 显式接入 policy；只用一次真实示范适配新 deformable object。,"高影响
代表作",PENDING_OA_LOOKUP,,,,,,,
DOM,A. 跨类别方法、Dynamics 与 Benchmarks（17 篇）,5,DefGoalNet: Contextual Goal Learning from Demonstrations for Deformable Object Manipulation,2024,ICRA,"通用 deformable surface / shape servoing
从少量示范学习目标形状",Goal representation learning from demonstrations + closed-loop manipulation,3D geometry / point-cloud-style state,重点不在学动作，而在学“目标应该长什么样”；适合 goal representation / shape servoing 方向。,"近期
代表作",PENDING_OA_LOOKUP,,,,,,,
DOM,A. 跨类别方法、Dynamics 与 Benchmarks（17 篇）,6,DeformPAM: Data-Efficient Learning for Long-Horizon Deformable Object Manipulation via Preference-Based Action Alignment,2025,ICRA,"granular + rope + T-shirt
堆料整形、rope shaping、T-shirt unfolding",Diffusion primitive model + preference/DPO + reward-guided action selection,3D point cloud + action primitives,长时序 DOM 的数据效率与错误累积问题；三个不同 DOM 类别共用一套学习框架。,"前沿
新作",PENDING_OA_LOOKUP,,,,,,,
DOM,A. 跨类别方法、Dynamics 与 Benchmarks（17 篇）,7,Implicit Neural-Representation Learning for Elastic Deformable-Object Manipulations,2025,RSS,"elastic bands / elastic objects
目标形状与弹性物体操作",Implicit SDF representation + RL representation fine-tuning,Partial point cloud / implicit surface,专门研究 elastic DOM 的 partial observation 与高维状态；是体积/弹性方向的重要新作。,"前沿
新作",PENDING_OA_LOOKUP,,,,,,,
DOM,A. 跨类别方法、Dynamics 与 Benchmarks（17 篇）,8,Particle-Grid Neural Dynamics for Learning Deformable Object Models from RGB-D Videos,2025,RSS,"rope + cloth + stuffed animals + paper bags
预测、数字孪生、model-based planning",Particle-grid neural dynamics + Gaussian splatting rendering,Sparse-view RGB-D + actions,跨形状/跨材料学习 dynamics，并覆盖 stuffed animal / paper bag 等少见 DOM；非常值得用于找新类别。,"前沿
新作",PENDING_OA_LOOKUP,,,,,,,
DOM,A. 跨类别方法、Dynamics 与 Benchmarks（17 篇）,9,SAM-RL: Sensing-Aware Model-Based Reinforcement Learning via Differentiable Physics-Based Simulation and Rendering,2023,RSS,"通用（含 DOM）
model learning + manipulation +主动视角",Differentiable physics/rendering + model-based RL,Raw images + differentiable simulator,展示从视觉自动校准模型、主动选择 informative viewpoint 的 MBRL 路线；DOM 是其真实任务之一。,"近期
代表作",PENDING_OA_LOOKUP,,,,,,,
DOM,A. 跨类别方法、Dynamics 与 Benchmarks（17 篇）,10,DaXBench: Benchmarking Deformable Object Manipulation with Differentiable Physics,2023,ICLR,"跨类别：cloth / rope / liquid / elasto-plastic
benchmark、planning、IL、RL",Differentiable physics benchmark + system identification + planning / learning baselines,Simulator state / images / actions,少数真正跨多种物理形态的 DOM benchmark；适合比较 planning、IL、RL 与 differentiable physics。,"高影响
Benchmark",PENDING_OA_LOOKUP,,,,,,,
DOM,A. 跨类别方法、Dynamics 与 Benchmarks（17 篇）,11,Learning Latent Graph Dynamics for Visual Manipulation of Deformable Objects,2022,ICRA,"跨类别 deformable objects
visual prediction + model-based manipulation",Latent graph dynamics learned from visual observations + model-based planning,Visual observation → latent graph + action,把高维视觉状态压缩到可规划的 latent graph dynamics，是近年 graph/world-model DOM 的重要基线。,"高影响
代表作",PENDING_OA_LOOKUP,,,,,,,
DOM,A. 跨类别方法、Dynamics 与 Benchmarks（17 篇）,12,Learning Predictive Representations for Deformable Objects Using Contrastive Estimation,2020,CoRL (PMLR 2021),"rope + cloth
spreading / goal-conditioned manipulation",Contrastive visual representation + latent dynamics + model-based planning,Images + robot actions,较早但影响持续：联合学习“可预测 representation + dynamics”，并从仿真迁移到真实机器人。,"奠基
高影响",PENDING_OA_LOOKUP,,,,,,,
DOM,A. 跨类别方法、Dynamics 与 Benchmarks（17 篇）,13,Learning Visual-Based Deformable Object Rearrangement with Local Graph Neural Networks,2023,Complex & Intelligent Systems,"rope straightening + cloth folding
goal-conditioned rearrangement",Local GNN jointly models dynamics and action selection,Visual keypoints / dynamic graphs,一套轻量 local-GNN 同时覆盖 rope 与 cloth；实机平均成功率高，适合看跨任务图表示。,"代表作
跨类别",PENDING_OA_LOOKUP,,,,,,,
DOM,A. 跨类别方法、Dynamics 与 Benchmarks（17 篇）,14,Learning Deformable Object Manipulation from Expert Demonstrations,2022,IEEE RA-L / IROS,"rope + cloth
shape manipulation / folding",DMfD: demonstrations + reinforcement learning; state/image variants,State or image + expert demonstrations,系统研究示教如何降低 DOM 高维探索成本，并有真实机器人 sim-to-real 实验。,"高影响
代表作",PENDING_OA_LOOKUP,,,,,,,
DOM,A. 跨类别方法、Dynamics 与 Benchmarks（17 篇）,15,RoboPack: Learning Tactile-Informed Dynamics Models for Dense Packing,2024,RSS,"rigid + deformable packed objects
non-prehensile manipulation / dense packing",Recurrent GNN dynamics + latent physics + MPC + online adaptation,Vision + Soft-Bubble tactile + action history,典型“触觉帮助识别物理属性并预测未来状态”；把 interaction-driven physical inference 接入 MPC。,"高影响
多模态",PENDING_OA_LOOKUP,,,,,,,
DOM,A. 跨类别方法、Dynamics 与 Benchmarks（17 篇）,16,PhysTwin: Physics-Informed Reconstruction and Simulation of Deformable Objects from Videos,2025,ICCV,"rope / cloth / stuffed objects / packages
reconstruction、prediction、robot planning",Physics-informed digital twin + inverse modeling + generative shape prior,Sparse RGB-D videos under interaction,从少量真实视频反演完整几何与物理参数，再用于实时模拟和 model-based planning；代表 real-to-sim 新路线。,"前沿
高影响",PENDING_OA_LOOKUP,,,,,,,
DOM,A. 跨类别方法、Dynamics 与 Benchmarks（17 篇）,17,SoftGym: Benchmarking Deep Reinforcement Learning for Deformable Object Manipulation,2020,CoRL (PMLR 2021),"cloth / rope / fluid
benchmark tasks",Open-source deformable simulation benchmark + RL baselines,State / image observations,虽然略早，但仍是 learning-based DOM 最重要的 benchmark 之一；大量后续 RL/IL 工作沿用其任务。,"奠基
高引用",PENDING_OA_LOOKUP,,,,,,,
